import time: self [us] | cumulative | imported package
import time:        41 |         41 |             _codecs_iso2022
import time:    100322 |     109784 |           charset_normalizer.api
import time:      1331 |       1331 |           charset_normalizer.legacy
import time:       905 |        905 |           charset_normalizer.version
import time:       478 |        478 |           simplejson
import time:       620 |        620 |                 urllib.response
import time:      1237 |       1857 |               urllib.error
import time:       586 |        586 |               nturl2path
import time:      2962 |       5404 |             urllib.request
import time:      3960 |       9364 |           http.cookiejar
import time:      1908 |       1908 |           http.cookies
import time:     16608 |     140375 |         requests.compat
import time:     13077 |     153451 |       requests.exceptions
import time:       306 |        306 |       chardet
import time:      1012 |       1012 |             idna.idnadata
import time:      1067 |       1067 |             idna.intranges
import time:     21061 |      23139 |           idna.core
import time:      1033 |       1033 |           idna.package_data
import time:     43983 |      68154 |         idna
import time:      1928 |      70081 |       requests.packages
import time:      3058 |       3058 |             certifi.core
import time:     21221 |      24278 |           certifi
import time:     35804 |      60082 |         requests.certs
import time:      1111 |       1111 |         requests.__version__
import time:      4154 |       4154 |         requests._internal_utils
import time:      1474 |       1474 |         requests._types
import time:      2692 |       2692 |         requests.cookies
import time:      1602 |       1602 |         requests.structures
import time:       580 |        580 |             importlib.resources._itertools
import time:      1627 |       2207 |           importlib.resources.readers
import time:      1282 |       3488 |         importlib.readers
import time:    121732 |     196330 |       requests.utils
import time:     14424 |      14424 |             requests.auth
import time:      1531 |       1531 |                 stringprep
import time:      1840 |       3371 |               encodings.idna
import time:       929 |        929 |               requests.hooks
import time:      1445 |       1445 |               requests.status_codes
import time:     26335 |      32079 |             requests.models
import time:       699 |        699 |               urllib3.contrib
import time:       259 |        259 |               socks
import time:      1553 |       2511 |             urllib3.contrib.socks
import time:     26857 |      75869 |           requests.adapters
import time:     13216 |      89085 |         requests.sessions
import time:      1485 |      90569 |       requests.api
import time:     38873 |    1115005 |     requests
import time:     55486 |    1268936 |   cpva_core
import time:      7222 |       7222 |   sp_t
import time:    270014 |    4377010 | main
